,0
33,我们用纯人声演绎了游戏《愤怒的小鸟》中的主题曲及音效。 导演：Napkins music 我们是阿卡贝拉人声组合MayTree五月树，成立于2000年。 喜欢就三连加关注吧~
34,这声音少一克肉都发不出
35,00:37 启动超级混乱模式
36,"爷青回！愤怒的小鸟太空版超好玩！
感觉现在的小孩大部分都玩王者…地铁跑酷 神庙逃亡 保卫萝卜 都挺好玩的呀……"
37,刚看很牛逼，后面很沙雕
38,开头的鸟叫着实把我吓了一跳
39,花果山内部会议资料流出[doge]
40,那个呱呱的姐姐好喜庆啊哈哈哈哈哈
41,翻译：呱呱呱，嘿嘿嘿，汪汪，嘻嘻哈哈@#！##%%#
42,"|￣( [热词系列_知识增加])￣|
|＼⌒⌒⌒⌒⌒＼
\　\  ⌒⌒ ⌒ ⌒⌒＼
   \    ｜⌒⌒⌒⌒⌒⌒|
　 ＼|＿＿＿＿＿＿  |"
43,你们说要是把他们的手都绑起来，没有了buff加成[思考]会不会就。。。。。嘿嘿嘿[抠鼻][抠鼻]
44,他们是怎么忍住不笑的？？？？[辣眼睛]
45,反复看开头的我，哈哈
46,不瞒你说，其实我一个星期前还在玩这个游戏
47,整个蜡笔小新吧！！！！
48,啊呵咦呀[doge]
49,这不来一首国际歌[点赞]
50,有点假了，建议录音棚直播搞个分轨干声出来。这多多少少沾了亿点点后期了。
51,千本樱不过分吧[脱单doge]
52,一人血书求黄金之风处刑曲[脱单doge]
53,完美，就是最后得分不是三星的，当然设备应该是三星的。
54,有没有笑场的片段，剪出来肯定很好玩哈哈哈[喜极而泣][喜极而泣][喜极而泣]
55,"‍👦      🎵 👱‍
    🎵    👨    🎵
🎵👩 💻     👧🎵
[doge]"
56,开始那段直接笑死了
57,一键三联啦！下一个植物大战僵尸吧[打call][打call][打call]
58,我爱Bbox！
59,蹲一个荒野乱斗[妙啊]
60,牛逼啊这是阿卡贝拉吗？
61,沙发🛋
62,右边的小姐姐有韩国女星内味了
63,又牛批又好笑哈哈哈哈哈哈哈哈哈哈
64,声音工程师吐血而亡
65,WOW[惊喜][星星眼]
66,啥也不说了，这就把愤怒的小鸟下回来，打游戏去了[doge]
67,这是阿卡贝拉吗？
68,什么时候来个崇皇和王权
69,说他们怎么做到不笑的，他们又没看着自己的表情[doge][doge][妙啊]
70,不能只有我来回盯着两个小姐姐看吧哈哈哈哈哈哈哈哈哈
71,鬼知道我重复了多少遍[捂眼]
72,您吞了几只鹌鹑？
73,静音新世界[doge]
74,关闭声音：大夫，我一家五口还能治吗？[doge]
75,@李昊妍是奥特曼 哈哈哈哈哈哈哈哈哈哈
76,找到我的来电铃声了
77,花果山会议[藏狐]
78,卧槽？[热词系列_知识增加]
79,"我们用纯人声演绎了游戏《愤怒的小鸟》中的主题曲及音效。
导演：Napkins music

我们是阿卡贝拉人声组合MayTree五月树，成立于2000年。
喜欢就三连加关注吧~"
80,整个小黄人吧
81,这个是不是很难憋笑[doge]
82,左边这个厉害👍🏻
83,牛逼
84,猿形毕露了吧[doge]
85,来一首 《太阳照常升起》
86,强啊
87,"我甚至不知道它自己播放了3遍
我还在想：这视频怎么这么长[捂脸]"
88,所以为什么愤怒鸟是呱呱叫的呢[doge]
89,[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]
90,牛批牛批
91,这是怎么做到忍住不笑的[喜极而泣]
92,阿卡贝拉
93,好快乐[粽子]
94,我快四级了帮个忙
95,小儿麻痹症[doge]
96,刚玩b站 这里的人都这么可怕的吗？[tv_委屈]
97,一人血书巫师三
98,我记得有人说我也能当那个拿平板的，来吧[藏狐]
99,把他们手绑住，就不会叫了吧[脱单doge]
100,说吧！每人吃了几只[吃瓜][吃瓜][doge]
101,能不能来段apex跳伞的时候的bgm[打call][打call][打call]
102,啊啊啊啊啊plz do some LOTR/the Hobbit themes！！！太期待了哇啊啊啊啊啊
103,这日常伙食是音响吗？
104,举报了，他们打个愤怒的小鸟都要开挂直接过关。[doge]
105,想听植物大战僵尸[傲娇]
106,艹，童年回忆[热词系列_爷青回]
107,[doge]终于找到同类了[辣眼睛]
108,求花絮[doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge]
109,乐器化形
110,不讲武德来偷袭老同志，年轻人耗子尾汁
111,这一集笑死
112,想起来了美嘉式玩儿法[妙啊]
113,我只知道，这个视频值得我三连。
114,“亿人血书”，环太平洋
115,好活，当赏[脱单doge]
116,你神该你神，开个静音看傻子[脱单doge]
117,无缝循环
118,医生那边怎么说？[doge]
119,把他们手都绑起来看他们还怎么唱[傲娇]
120,怎么做到全程不笑场的[辣眼睛]
121,左边小姐姐真的好稳！
122,谁能把他们手绑上？[doge]
123,植物大战僵尸来一个
124,作么说呢[藏狐]有点。。。。
125,愤怒的小鸟！哇，真的是我童年的回忆了[给心心]这个合唱好棒[tv_点赞][tv_点赞][tv_点赞]
126,想看植物大战僵尸
127,一本正经的搞笑[脱单doge]
128,愤怒的小鸟英雄传玩过没[doge]
129,整个植物大战僵尸吧[doge]
130,好想听飞出去的声音[大笑]
131,差点没看出来这个是个恰饭视频[doge][doge][doge]
132,兄弟们，我出不去了，谁来救救我🆘
133,京中自有善口技者[藏狐]
134,从42秒的时候开始，直接釜山行[doge]
135,录音棚里欢乐多，笑死了[吃瓜]
136,这是怎么做到憋住不笑的？[笑哭]
137,原来是这样来的啊！😂😂😂
138,在b站其实可以整点二次元的活[doge]
139,00：42
140,他们是怎么忍住不笑的[doge]
141,太草了[滑稽][doge][滑稽]
142,血书求植物大战僵尸[给心心]！
143,嘶...我都不知道还能不能称其为阿卡贝拉了[藏狐]
144,👨😺👍吉良吉影表示很赞
145,表情管理区up第一名
146,"这就是传说中的群魔乱舞么，爱了爱了
[doge][doge][doge]"
147,下次该植物大战僵尸了
148,植物大战僵尸！
149,啊～诶～呀～[doge]
150,卧槽…？
151,没有“呀～嘿呀”缺少灵魂[微笑]
152,求花絮[doge]
153,好好玩的亚子[星星眼]
154,我连猪叫都不会
155,上头
156,以前的愤怒的小鸟里约大冒险下架了现在这个不怎么好玩
157,弄个植物大战僵尸片尾曲呗
158,满头冷汗😰鸡皮疙瘩
159,右边那个女生好像《完美的他》里面的崔经理的前妻啊[笑哭]
160,万人血书  bgm :ko ki ki
161,求他们在录播时笑场了几次[doge]
162,植物大战僵尸！！！[打call]
163,[doge]
164,有植物大战僵尸么[doge]
165,一人血书植物大战僵尸[doge]
166,嗓子里住了一群愤怒的小鸟[妙啊]
167,再次血书原野追逐[傲娇][傲娇][傲娇]
168,把ng放出来会不会很好玩？[响指]
169,就特么前3秒是最逼真的(//∇//)
170,下一次来个CF吧
171,碟中谍
172,一人血书怪物猎人英雄之证[打call]
173,血书only my raligun
174,好活！
175,关闭声音→快乐源泉
176,建议2倍速收看[吃瓜]
177,人形贝斯有avi内味了甚至表情都一样哈哈哈哈哈
178,能不能搞一个黄金之风处刑曲？[脱单doge]
179,我猜一直不出《神探夏洛克》估计是那种音效太难用语言模仿了，或者是能模仿出来但是没内味，卷福的夏洛克这么大的ip世界上有一大批粉丝，如果好做他们没理由不出的[思考]
180,搞得我想重新玩一下了啊
181,强啊哈哈哈哈哈哈
182,呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱呱嘟嘟哇哇哇哇啊！[妙啊][妙啊][妙啊]
183,开头惊了
184,00：41
185,加装声卡了吗
186,屌爆了[吃瓜]
187,韩国体育
188,好尴尬 你们都很喜欢这个吗
189,活体乐器
190,牛蛙
191,啥b
192,这咋投币
193,再唱会估计要笑场！
194,陕北小伙儿那一声猪叫学得太像了，哈哈哈哈
195,怎么憋住不笑的😂😂😂😂😂😂😂
196,？？？？？？？？？
197,这个硬克
198,等等？这不是我小时候经常干的事？？？
199,京中有善口技者
200,这些是韩国人吗
201,笑死老子
202,愤怒的小蛙
203,台湾组合？
204,这是美声唱法吗
205,这是愤怒的小鸡?
206,好傻
207,神！
208,怎么做到全程不笑场的？
209,不知道咋回事，虽然都是亚洲人，但这个五个我一眼就看出来是韩国人了[捂脸]
210,不是时政相关的视频，就麻烦某些人不要出警了，不就是看个热闹，放松一下吗
211,愤 怒 的 青 蛙[藏狐]
212,这是我们学校上课铃
213,京城中有善口技者
214,拉弹弓，我射！啊~~~黑你妈！
215,微信来的[笑哭]
216,愤怒的小鸟打钱
217,音响成精了
218,中间动画片那段的BGM是啥呀？
219,这叫什么来着。。我忘了
220,我以为视频很长，原来是我反反复复看了七八遍！
221,牛啊牛啊！[脱单doge]
222,人才
223,塞尔维亚理发师?[狗子]
224,静音打开新世界
225,愤怒的小鸟本鸟
226,他们怎么憋住不笑的[藏狐][藏狐][藏狐][藏狐]
227,想看植物大战僵尸的
228,好家伙
229,@Thatqyhx
230,超爱
231,关掉声音有奇效[囧]
232,最近天天陪大班的娃玩儿这个[doge]
233,感觉还差点意思
234,牛逼
235,啊~去尼玛[吃瓜]
236,听完这个后，感觉好上头。
237,我想听部落冲突的背景音乐[doge]
238,越听越上头[打call]
239,嗯？？？？？？？？？？
240,难受
241,大型人类返祖现场
242,Wtf
243,把声音关了看看视频，笑死了
244,没声音的话，光看感觉沙雕舍友
245,牛得一批！[支持][支持]
246,你被官方盯上了！[doge]
247,京中有善口技者[滑稽]
248,一进来五个人在这里干嘛？，向我推销平板电脑，玩愤怒的小鸟不卡？结果一看我没开声音[尴尬][尴尬][尴尬]
249,迪卢克，我音响呢[doge]
250,B站有善口技者[doge]
251,有点洗脑啊
252,这些人就配音的吧？[来古-疑问]
253,卧槽
254,太可爱了哈哈哈哈[藏狐]
255,想玩了
256,震惊我一整年
257,等我有钱了，我就把他们全签下来当音箱。
258,猫和老鼠
259,一股韩国人味道，没意思
260,是你一身的猪腩肉
261,偷棒子
262,👴第一次来b站就看到这么屌的视频，泪目了，三连
263,太厉害了[点赞]听上瘾了
264,以后愤怒小鸟不是你们配音我都不玩
265,怎么做到不笑的[灵魂出窍]
266,hhhh
267,我快爱上拿平板的阿姨了！[笑哭]
268,难听。
269,特别喜欢右边的阿姨
270,呱呱呱呱呱呱～呱？呱！
271,离大普
272,我一直被最右边那个女的鼻孔吸引[囧]
273,京中有善口技者，从此君王不早朝
274,人类在自己感兴趣的事情上，总有着无限的创造力
275,[妙啊]把开头这音乐给我老家养了几年的老母鸡听，它居然又开始下鸡蛋了
276,这是外语几级？
277,拿板儿的这个小姐姐好六啊[星星眼]
278,我老早就想说了，要是把手绑住了还能唱吗[妙啊]
279,对口型而已
280,这他妈哪是人变成了音响，明明是音响变成了人[吃瓜][吃瓜][吃瓜][吃瓜]
281,我还想知道他们的收音设备！好强！[星星眼]
282,难听的人声诶  不是所有音乐都适合人声伴奏的
283,阿卡贝拉！
284,后面两位虽然出镜了，但是保持模糊[笑哭]
285,牛
286,23333
287,太流弊了
288,牛批了
289,绝了[doge]
290,这bass可以的
291,？？
292,牛逼
293,把声音关了新世界[doge][doge]
294,好厉害
295,这个太搞笑了哈哈哈哈
296,我先去百度个骚话，如果1小时后我没回来，那我可能在奇怪的网站里被榨干了[doge][doge][doge]
297,我有理由怀疑那BGM就是这么来的，还可能是你们配的音！[doge]
298,把他们手全绑住我就不信还能吼出来
299,太厉害了
300,后边俩男的好像筷子兄弟啊
301,大叔
302,京中有善口技者，从此君王不早朝
303,五合一音响拟人化[doge][藏狐]
304,植物大战僵尸有无[吃瓜][吃瓜]
305,草
306,好像少个人啊？
307,哈哈哈哈哈哈哈哈哈😂
308,看得我直挠头皮
309,强👍
310,让我想起了PTX
311,哪国人？
312,我人傻了
313,阿卡贝拉
314,猪叫笑死
315,"想听王者荣耀
梦奇呀梦奇～啦啦啦啦啦～"
316,太强了
317,你們能不能整一個我的世界？[doge][doge][粽子]
318,现在音响越来越像人了[doge]
319,为什么不笑场[doge]
320,[热词系列_爷青回][藏狐]
321,我知道，蓝色小鸟的 wei～ 原本是刘亦菲配的音[滑稽]
322,这几个人是棒子吗？
323,这明明是青蛙
324,哈哈哈哈哈哈哈
325,成立于2000年？？？？？我靠
326,阿卡贝拉吗
327,为什么能不笑场啊
328,京中有善口技者，从此君王不早朝。
329,求求了！空洞骑士！
330,好家伙怎么忍住不笑场的
331,明显洗脑
332,来个鸟二boss战音乐[doge]
333,呱呱呱呱呱
334,太优秀
335,怎么做到不笑的
336,。。。
337,卡罗尔与星期二里那首脏话哥也是阿卡贝拉，近来翻了一圈没人提，那我想看表演这首歌曲[doge]
338,哇哦!
339,好厉害!
340,来一个红色警戒的不过分吧[滑稽][滑稽]
341,大佬牛批
342,牛哇牛，好魔性哈哈
343,牛逼牛逼牛逼牛逼
344,一人血书求猫和老鼠
345,哈哈哈
346,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
347,花絮花絮
348,不让他们的头动他们是不是就不行了
349,[思考]
350,满脑子都呱呱呱了[doge]
351,原来哔哩哔哩有号
352,笑拉了
353,好厉害！
354,老规矩，先绑手[doge]
355,满脑子都是呱呱呱
356,省流小助手：啊！！！！！～叽～咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣咣  哇啦哇啦哇啦哇啦哇啦哇啦
357,a~qnmd
358,那个，我能看看你们的谱吗[doge]
359,"一开始：这是啥东西
结束：我是什么东西"
360,植物大战僵尸不得配套来个么
361,录着录着会不会笑起来啊，，，[歪嘴][歪嘴][歪嘴][歪嘴]
362,确实很厉害[支持]佩服
363,有音频版吗
364,"有一种鸟叫声的记忆特别深
但是忘了是那种了
叫声是：嘎嘎～咕咕咕嘎咕"
365,不知不觉又来刷了一遍[笑哭]
366,棒子?
367,韩国人吗？
368,出出出出不去了。。。
369,！DNA动了
370,有考虑过唱levan polkka吗？[doge]
371,@宋智孝  懵智，快来看看，这里有你的专属BGM[吃瓜][笑哭]
372,厉害
373,长得有点像李小璐
374,口技
375,[吃瓜][辣眼睛][doge]
376,@wndcpmtdzdoi @691_ @Somnus2yi
377,麻麻，我找到组织了[笑哭]
378,千万别调静音看[笑哭]
379,太厉害了(=・ω・=)[热词系列_好活]
380,为什么一看右边那个女生就知道是韩国人
381,哈哈哈哈哈，
382,猪叫那里我破防了[doge]
383,哇喔
384,爱了爱了
385,5.0音箱
386,上头
387,生草中带着nb
388,好家伙[doge][doge]
389,🇨🇳人？一直不说话，也不知道是哪一国的[笑哭]
390,想看植物大战僵尸的
391,最后的高音好强
392,过分！
393,全是韩国人
394,宝藏up
395,Hhhhhh
396,好厉害[打call][打call][打call][打call]
397,牛逼
398,这个是叫阿卡贝拉吗
399,一群鸡[辣眼睛][辣眼睛][辣眼睛]
400,@妈的奶妈呢
401,这就是传说中的阿卡贝拉吗
402,靠后期剪辑
403,怪异
404,收放自如[doge]
405,nb
406,拿平板的小姐姐爱了
407,厉害了
408,原谅我没良心的笑了
409,专业的总是那么与众不同
410,人类真的能发出这种声音吗？！
411,每当你失败，总有一群猪在笑你
412,"不会笑场吗？
[思考]"
413,想要个夏洛特！！
414,救命哈哈哈哈   右边呢个小哥好好笑啊
415,阿卡贝拉还能这么用？！这脑洞也是绝了！
416,我觉得少了一点点灵魂，在拉小鸟弹弓的时候，是有音效的，红色的是：啊～hina，黄色的是：啊卡啊卡乌阿、wuin～
417,666
418,请发出人类的声音
419,人才啊
420,太妙了！才华无国界
421,请问这种人形音响一套价格多少[doge]
422,洗脑了[doge]
423,对于没玩过这个游戏的人来说这就是5个逗比
424,花 果 山
425,是韩国人吗，面部特征感觉好像韩国人
426,哈哈哈哈哈哈哈
427,以前看过模仿苹果和安卓的铃声，只不过当时没找到乐队，现在才发现，不过也不晚[OK]
428,这是真正的艺术家啊
429,语文老师诚不欺我，京中有善口技者
430,女声不行，没乐器感
431,野  兽  世  界  [doge]
432,牛
433,哈哈好可爱
434,哈哈哈
435,6666
436,阿卡贝拉
437,舒服
438,牛蛙
439,看着像南朝鲜的人
440,拿pad的小姐姐一定是能控制住手的还能唱的[脱单doge]
441,我的天哪
442,让我想下载愤怒的小鸟
443,这个组合我听过，好像叫有什么大病组合[辣眼睛]
444,好了，我要重温一下这个游戏了
445,牛啊，b站多来点这种有意义的
446,这是模仿音乐盒子吗？
447,植物大战僵尸[打call]
448,6
449,玛德杀疯了
450,大型人类返祖现场
451,鸡皮疙瘩都起来了哈哈哈哈哈哈！！
452,如果把他们手给绑了会怎样？[热词系列_知识增加][热词系列_妙啊]
453,死人脸
454,对不起，我不应该静音播放特别是最后几段[doge]
455,666666
456,谁负责呱呱呱呢 该拿一半钱
457,呱呱呱 丢丢丢
458,"我在b站都刷到了些什么呀？[笑哭]
但的确挺厉害的，学不来学不来"
459,哼 想骗我 原曲就是你们配的[doge]
460,要不也整一个pvz？
461,哈哈哈哈哈哈
462,哈哈哈哈哈哈哈瓜瓜的可爱死了
463,保卫萝卜来一个
464,我就听到呱呱呱呱呱了[笑哭]
465,求捣蛋猪
466,一人血书植物大战僵尸
467,[doge]
468,里面的小猪也有自己的游戏的，叫啥名字来着，里面的bgm也非常好听
469,希望能出苏维埃进行曲
470,左下角的小姐姐好可怜，每次都是她托着屏幕[滑稽]
471,整个植物大战僵尸的呗。
472,哼啊
473,专业团队[滑稽]
474,求植物大战僵尸
475,一人血书，大悲咒[doge]
476,。。
477,不孬
478,你们是怎么做到不笑场的[藏狐]
479,夜的钢琴曲五可以吗？
480,一人血书海棉宝宝[doge]
481,DNA动了
482,牛哄哄啊
483,[笑哭]禁止套娃
484,不看屏幕光听真的很像
485,病   情  交  流  会
486,6666
487,是韩国的吗
488,没有信天游腔莫得灵魂！
489,阿卡贝拉牛掰的要死!
490,立马下载[点赞]
491,好几把搞笑
492,太有趣了！
493,一本正经搞笑
494,看着看着能睡着唉！[捂脸]
495,球音频文件，我要用这个设置来电铃声
496,京中有善口技者，从此君王不早朝[doge]
497,阿卡贝拉吗
498,纯人声啊
499,恕我无能只剩句woc了
500,植物大战僵尸！我要听植物大战僵尸，都有愤怒小鸟了，应该不过分吧
501,是鸟的声音还是人的声音分不清[doge][doge][doge][doge]
502,最右边的姐姐你的口罩怎么不带了？[妙啊]
503,已经气氛了，血压也高了起来
504,整个视频里，我只会那声猪叫。
505,能出一期把手捆住的视频吗[doge]
506,这表情好😄
507,这种艺术对于人类来说还是太早了[笑哭][笑哭]
508,我都看了十遍了还想看[呲牙]
509,开头：啊啊啊啊好劲啊～
510,植物大战僵尸
511,群魔乱舞
512,亿群神经病[doge]
513,看你们这么卖力，给两个币了[藏狐]
514,为什么我能笑全程笑死我了[笑哭][笑哭][笑哭]
515,收放自如
516,他们是怎么忍住不笑的[藏狐]
517,各位，视频最好看5遍
518,这个好像啊！！！！绝了！！
519,哈～咿呀
520,本体是手，把手捆住就没声了
521,我脸都笑抽搐惹
522,开幕雷击哈哈哈
523,这还有主题曲？
524,哈哈哈哈哈哈哈哈哈哈哈歇会儿哈哈哈哈哈哈哈
525,没玩一次愤怒的小鸟，就有五个人被关在手机里给你配乐，拒绝非法拘禁，从不玩愤怒的小鸟开始[doge][doge][doge][doge][doge][doge][doge][doge][doge][doge]
526,阿卡贝拉！！！！！
527,今日的快乐[笑哭]
528,艺术
529,强烈要求下一期做植物大战僵尸[吃瓜][吃瓜][吃瓜]
530,好厉害[喜欢]
531,能来一个五军之战吗
532,真会玩
533,喔草[点赞]
534,韩国人吗？
535,牛马 牛马
536,太上头了，感觉要看完了
537,光速通关
538,我从没想过是这样的呱呱呱
539,想听 梦奇梦奇哒哒哒嘟嘟嘟～[大笑]
540,黄梅时节家家雨，青草池塘《处处蛙》[doge]
541,秀啊
542,这是要上天啊
543,好可爱啊哈哈哈哈哈哈
544,！这首歌竟然是愤怒的小鸟[热词系列_知识增加]
545,想听电影，愤怒的小鸟主题曲。
546,怎么能一脸认真的唱出来 我一开始听就想笑了哈哈哈好牛哇
547,我想有啥音是你们配不出来的
548,草还以为是中国团队，还以为中国竟然有这方面牛逼团队。点进去果然是国外的
549,0：42[doge]
550,上头，耳朵怀孕
551,Lol[呲牙][呲牙]
552,请问现在哪里可以下载愤怒的小鸟
553,为什么又是这一波人，他们是谁？
554,有点上头
555,整全套
556,[doge]植物大战僵尸
557,当年PTX开创了五声音阶清唱团的先河，世界各地的人们都争相模仿
558,题外话哈，他们是韩国人吗？
559,救救，太可爱了哈哈哈哈哈哈哈哈
560,想要植物大战僵尸
561,哈哈哈哈哈好可爱啊好绝啊大家
562,看脸像韩国的
563,这个我早就看过了。
564,牛掰了
565,？？？
566,有没有植物大战僵尸的！
567,万人血书，野蜂飞舞
568,好多棒子[吃瓜]
569,开幕雷击
570,第一次看这个Up主的视频，应该是韩国人？
571,最后的高音好评
572,牛批
573,这也太强了吧
574,像韩国人
575,最后一段绝了
576,🤙🤙🤙
577,听取（ ）声一片。
578,好像救命[呲牙][呲牙][呲牙][打call][打call][打call]
579,太厉害了[doge]
580,我的青春回来了[吃瓜][吃瓜]
581,后排左边的小哥神似六小龄童
582,好可爱哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
583,不出意外很快国内一些声乐的人就会模仿别人了，
584,这也能唱？
585,哈哈哈哈
586,呱呱呱呱
587,哈哈哈哈哈哈哈哈哈哈哈好可爱
588,妙的不得鸟啊
589,左下角的小姐姐可以出期独唱视频吗[热词系列_妙啊][热词系列_妙啊][热词系列_妙啊]
590,@宋智孝
591,后期做的不错。
592,让我康康这次又有多少xxxx的点歌手？人家随手放个功德箱在b站，居然总有人往里面传纸条？人家只要money哒[tv_无奈]
593,笑死哈哈哈哈厉害
594,哈哈哈[喜极而泣]
595,唐悠悠是你嘛
596,那个蛋出来了的低音听起来好爽
597,"up
nb"
598,左下这小姐姐好可爱[脱单doge][脱单doge][脱单doge]
599,呱呱呱呱呱
600,京中有善口技者
601,给朕赏黄金百两
602,吵死了吵死了！唉？好漂亮好厉害，那没事了
603,牛批哈哈哈哈哈哈
604,人才啊
605,技术活
606,唱得什么鸟语
607,你硬币有了[热词系列_好活]
608,你们是怎么忍住不笑的
609,哈哈，经典
610,这就是阿卡贝拉吗？
611,阿卡贝拉，8太牛了
612,京城有善口技者[doge]
613,为什么没有砸猪的音效[doge]
614,真是厉害了
615,最后那个，太好听了吧
616,好厉害好厉害
617,以前电视上每集试看五分钟，然后愤怒的小鸟不超过三分钟
618,笑死我了哈哈哈哈哈
619,装的挺像
620,这是口技吗？[滑稽]
621,哈哈哈哈哈好厉害！
622,好厉害啊！[打call]
623,右边这个女的表情直接拉满了
624,能不能整个Ezio‘s family ，那个高音超好听[doge][妙啊][星星眼]
625,笑死我了[花丸晴琉_大笑][花丸晴琉_大笑]
626,真的不会笑场吗？哈哈哈
627,这游戏是个间谍游戏
628,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我要玩会去
629,awesome hhhhh[笑哭][支持]
630,千成林，快出来，你的BGM[喜极而泣][笑哭][吃瓜]
631,京有善口技者，从此君王不早朝[doge]
632,怎么忍住不笑的
633,还好高考考完才刷到
634,我的注意力全在右边这个女的身上，尤其喜欢她第一段的“呱呱呱呱呱”的同时还抖肩
635,牛哇你
636,来个P&Z
637,请教一下这是怎么录音的？效果这么好。
638,我从一开始呱呱呱就开始嘴角上扬哈哈哈
639,《塞尔维亚理发师》能来一个吗？[tv_doge][tv_doge]
640,@被迷倒了i 笑死，真是正常人能做的事？
641,@沉默寡言白河愁
