,0
384,把他们手绑起来是不是就不会了
385,他们怎么不笑的
386,哈哈哈哈哈哈
387,您
388,？
389,太可爱了这个
390,突然开心
391,哈哈哈
392,好家伙
393,阿卡贝拉
394,？？？
395,哈哈哈
396,表白两位小姐姐
397,？？？？？？
398,哈哈哈
399,京中有善口技者
400,头皮发麻
401,我直接卧槽
402,厉害
403,有没有植物大战僵尸
404,天呐
405,我要这硬币有何用
406,牛逼
407,牛蛙
408,现在还在玩的游戏
409,这个太像了
410,？？？？
411,哈哈哈哈哈哈哈哈哈哈
412,哈哈哈哈哈哈救命
413,？？？
414,都是后期
415,hhhhhhhhhhhhhhh
416,禁止放原声（doge）
417,卧槽
418,京中有善口技者
419,呱呱呱呱呱呱呱呱呱
420,好像
421,成功地让我想去再玩一遍愤怒的小鸟
422,再来亿遍
423,开场“卧槽”！
424,鸡皮疙瘩都起来了
425,不像中国人，韩国，还是日本呢
426,讲道理这游戏做的时候也是挺用心的了
427,？？？？？
428,这是广告吧？
429,？？？？
430,你币有了
431,哈哈哈哈哈哈哈哈哈哈哈
432,好可爱啊！
433,听 取 呱 声 一 片
434,厉害厉害
435,太强了
436,哈哈哈哈哈哈哈
437,一人血书求植物大战僵尸！！！
438,笑得我口水喷了一手机
439,哈哈哈哈哈哈哈
440,哇哦哇哦哇哦
441,厉害厉害
442,厉害厉害
443,？？？
444,啊这
445,哈哈哈哈哈哈哈哈哈哈
446,让我想起了非洲那俩小孩
447,666
448,woc
449,他们怎么不笑的
450,专业训练，除非憋不住
451,他们是如何做到不笑场的
452,这是真的吗？
453,一看就是韩国人呀
454,哈哈哈哈好厉害
455,哈哈哈哈，太强大了
456,花 果 山
457,厉害
458,我鸡皮起来了xdm
459,阿卡贝拉
460,牛批
461,歪比巴卜
462,我笑了
463,这里面必有单身狗
464,dna 动了
465,韩国人这群
466,哈哈
467,群魔乱舞
468,猪叫我会
469,哈哈哈哈
470,牛啊
471,开幕雷击
472,哈哈哈哈哈哈哈哈哈
473,牛逼
474,哈哈哈，好活！
475,右一这个是真的像
476,呱呱剐
477,群  魔  乱  舞
478,呱呱呱呱呱呱
479,哈哈哈
480,这是怎么能憋住的？
481,疯了疯了
482,群魔乱舞
483,一个笑场估计全得完蛋
484,除了看起来很牛逼的样子，有什么用啊
485,有钱了，我也买一套这音响
486,头皮发麻
487,妈妈！救命！我出不去了！
488,哈哈哈哈哈哈哈哈
489,好可爱哈哈哈哈哈哈哈
490,太厉害了
491,有点意思
492,太搞笑了哈哈哈哈
493,好厉害！！！！
494,后面蓝领带像五月天的阿信不
495,哈哈哈哈哈哈
496,京中有善口技者
497,牛逼
498,哈哈哈哈哈哈哈
499,哈哈哈哈哈哈哈
500,哈哈哈哈哈哈哈哈
501,哈哈哈哈哈
502,大晚上的在宿舍突然笑出声∠( ᐛ 」∠)_
503,nb
504,哈哈哈
505,哈哈哈哈哈哈哈哈
506,左边妹子是我目前为止唯一在屏幕上看不出是韩国脸的女生
507,呱呱呱
508,好快乐 
509,哈哈哈
510,绝了
511,小姨妈-_-
512,按住后排的手啊
513,哈哈哈哈哈哈哈哈哈
514,吾咦咦咦咦哦哦啊啊啊(doge)
515,您？
516,笑出猪叫
517,？
518,右一韩国人吗？
519,DNA动了
520,颜艺表演
521,怎么做到不笑场的。。
522,？
523,一群鸟人（狗头）
524,强强
525,nb
526,我信了，原来可以配音！
527,阿卡贝拉
528,完美衔接？
529,呱呱呱
530,飞镖黄绝了
531,66666666
532,哈哈哈哈有灵性
533,好想和右边的妹子谈恋爱。
534,鸡犬相闻
535,哈哈哈哈哈哈
536,越来越离谱了
537,？
538,xswl hahahaha
539,哈哈哈哈哈哈
540,wryyyyyyyyyyy
541,这得吃多少牛蛙
542,忽然女高音
543,哈哈哈哈哈哈
544,哈哈哈哈哈哈哈哈哈哈哈哈哈哈我凑哈哈哈哈哈哈哈
545,韩国有善口技者
546,左边这女高音居然这么怪
547,卧槽
548,卧槽槽槽槽槽
549,卧槽
550,哈哈哈哈哈哈哈哈哈哈哈
551,哈哈哈哈哈
552,哈哈哈哈哈哈哈
553,哈哈哈哈哈哈哈
554,哈哈哈哈哈哈哈哈哈哈哈
555,如果把他们手给绑了会怎么样？
556,您
557,茉莉
558,哈哈哈哈哈哈哈哈哈
559,呱呱天团
560,这个猪叫绝了哈哈哈哈哈哈哈
561,这是怎么蚌埠住的？
562,韩国人，这个是韩国组合
563,神仙！
564,呱呱呱
565,乐器转世了2333
566,哈哈哈哈哈哈哈
567,现在的音响越来越像人了
568,太可爱了叭
569,厉害厉害
570,哈哈哈哈
571,卧槽
572, 听的躺在床上的我被手机萌砸
573,猫和老鼠
574,好玩
575,这个6啊，太6了哈哈哈
576,这也行！！！
577,哈哈哈，牛批
578,卧槽
579,汪汪队
580,呱呱呱呱呱呱呱呱呱呱呱
581,牛逼
582,哈哈哈哈哈哈
583,她们是怎么忍住不笑的
584,您
585,瓜瓜
586,应该有笑场很多次吧哈哈哈哈
587,woc哈哈哈哈
588,开幕雷击
589,卧槽
590,。。。！！！！！？？？？？？？？！！！，，。。。
591,！！！！！！！
592,？？？？？！！！！！！。。。。，，
593,。。。。。
594,卧槽
595,太强了
596,哈哈哈哈哈哈哈
597,哈哈哈哈哈哈
598,我怎么觉得右边小姐姐挺好的啊
599,呱呱呱呱
